id,name,description,url,external_id,created_at,updated_at,last_scraped_at,is_active,is_featured,discovery_method,platform_name,platform_url,platform_description
2572,LLM,Vibe-coded application: LLM,https://github.com/danishdyna/LLM,,2025-09-18T10:56:43.728884,2025-09-18T10:56:43.728885,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2192,LLM-application-production,Vibe-coded application: LLM-application-production,https://github.com/vivekprm/LLM-application-production,,2025-09-18T10:56:43.698651,2025-09-18T10:56:43.698652,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2299,LLMAgentsDE,Vibe-coded application: LLMAgentsDE,https://github.com/nikb-de/LLMAgentsDE,,2025-09-18T10:56:43.704360,2025-09-18T10:56:43.704361,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2620,LLMs-on-LLMs,"Large language models (LLMs) explaining themselves - and how to make best use of them (prompt engineering). Often insightful, though accuracy not guaranteed!",https://github.com/danielrosehill/LLMs-on-LLMs,,2025-09-18T10:56:43.734047,2025-09-18T10:56:43.734048,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2254,Langflow,Vibe-coded application: Langflow,https://github.com/udaykiran-91/Langflow,,2025-09-18T10:56:43.702116,2025-09-18T10:56:43.702117,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2466,Learning-Assets,Vibe-coded application: Learning-Assets,https://github.com/Archive-42/Learning-Assets,,2025-09-18T10:56:43.718243,2025-09-18T10:56:43.718243,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2782,Learnings_zettlekasten,Vibe-coded application: Learnings_zettlekasten,https://github.com/InbaKrish/Learnings_zettlekasten,,2025-09-18T10:56:43.753067,2025-09-18T10:56:43.753068,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2076,LightResults,An extremely light and modern Operation Result Pattern library for .NET.,https://github.com/jscarle/LightResults,,2025-09-18T10:56:43.692733,2025-09-18T10:56:43.692733,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
78,Liviere/inference-core,A FastAPI backend template with Celery-powered background tasks and first-class LLM integration using LangChain.,https://github.com/Liviere/inference-core,1031342954,2025-09-17 23:48:56,2025-09-18 18:03:33,2025-09-17 23:48:56,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
2342,LuposX.github.io,Vibe-coded application: LuposX.github.io,https://github.com/LuposX/LuposX.github.io,,2025-09-18T10:56:43.707937,2025-09-18T10:56:43.707937,2025-09-18 14:56:43,True,False,api_gallery,GitHub,https://github.com,Code repositories with AGENTS.md files indicating vibe-coded applications
